Instancia;Set;Cantidad nodos;Nivel de Riesgo
10.txt;O;10;
55.txt;O;55;
81.txt;O;81;
51.txt;V;51;1.0
121.txt;V;121;1.0
51.txt;V;51;1.5
121.txt;V;121;1.5
51.txt;V;51;2.0
121.txt;V;121;2.0
51.txt;V;51;2.5
121.txt;V;121;2.5
51.txt;V;51;3.0
121.txt;V;121;3.0
12_7_1.0.txt;R;12;1.0
20_7_1.0.txt;R;20;1.0
12_7_1.5.txt;R;12;1.5
20_7_1.5.txt;R;20;1.5
12_7_2.0.txt;R;12;2.0
20_7_2.0.txt;R;20;2.0
12_7_2.5.txt;R;12;2.5
20_7_2.5.txt;R;20;2.5
12_7_3.0.txt;R;12;3.0
20_7_3.0.txt;R;20;3.0
25.txt;S;25;
40.txt;S;40;
64.txt;S;64;