Instancia;Instancia;Set;Cantidad nodos;Calidad Greedy;Calidad HCAM;Tiempo {s};Mejora
O: 10.txt;10.txt;O;10;314,159;268,324;0,007796;15%
O: 55.txt;55.txt;O;55;205,787;125,664;205032;39%
O: 81.txt;81.txt;O;81;286,802;198,357;33,5822;31%
V:1.0 121.txt;121.txt;V;121;1859,15;1531,25;11,8684;18%
V:1.0 51.txt;51.txt;V;51;6680,38;6248,4;113,64;6%
V:1.5 51.txt;51.txt;V;51;1591,37;1215,28;167,495;24%
V:1.5 121.txt;121.txt;V;121;4699,05;4197,13;268,429;11%
V:2.0 51.txt;51.txt;V;51;1644,67;1046,02;181,232;36%
V:2.0 121.txt;121.txt;V;121;3743,07;3189,35;655,202;15%
V:2.5 51.txt;51.txt;V;51;1554,6;942,716;22,8449;39%
V:2.5 121.txt;121.txt;V;121;3181,01;2842,48;1375,93;11%
V:3.0 51.txt;51.txt;V;51;1567,01;863;4,54328;45%
V:3.0 121.txt;121.txt;V;121;2977,67;2376,55;3633,68;20%
R:1.0 12 7;12_7_1.0.txt;R;12;1387,99;1387,99;0,013359;0%
R:1.0 20 7;20_7_1.0.txt;R;20;1208,29;1091,65;0,052268;10%
R:1.5 12 7;12_7_1.5.txt;R;12;1131,01;955;0,010628;16%
R: 1.5 20 7;20_7_1.5.txt;R;20;1241,27;987,02;0,068965;20%
R:2.0 12 7;12_7_2.0.txt;R;12;984,402;782,345;0,015343;21%
R:2.0 20 7;20_7_2.0.txt;R;20;1051,82;819,52;0,051811;22%
R:2.5 12 7;12_7_2.5.txt;R;12;988,907;739,355;0,015741;25%
R: 2.5 20 7;20_7_2.5.txt;R;20;1015,91;721,257;0,043044;29%
R:3.0 12 7;12_7_3.0.txt;R;12;795,603;571,079;0,016201;28%
R:3.0 20 7;20_7_3.0.txt;R;20;1002,64;728,94;0,059606;27%
S: 25.txt;25.txt;S;25;66,3587;55,8583;0,091152;16%
S: 40.txt;40.txt;S;40;162,863;160,216;0,889194;2%
S: 64.txt;64.txt;S;64;282,356;282,356;376;0%
;;;;;;;